APPLICATION.ID,DSA.ID,DEALER.ID,QUEUE.ID,CURRENT.STAGE,MARITAL.STATUS,GENDER,AGE,EDUCATION,RESIDENCE.TYPE,CITY,STATE,ZIP.CODE,EMPLOY.CONSTITUTION,PAN.STATUS,APPLICATION.SCORE,APPROVED.AMOUNT,APPLIED.AMOUNT,LOAN.TENOR,OWN.HOUSE.TYPE,PRIMARY.ASSET.CTG,PRIMARY.ASSET.MAKE,PRIMARY.ASSET.MODELNO,VOTER_ID,DRIVING_LICENSE,AADHAAR,PAN,BANK_PASSBOOK,APPLICATION.STATUS
27497000024,JB02005,27497,Straight  Through Process,PD_DE,Single,Male,30,GRADUATE,OWNED-BUNGLOW,UDHANA,GUJARAT,394210,SELF-EMPLOYED,Pan Not Submitted,69,32321,28000,10,Self Owned,REF-FF HOME,SAMSUNG,RT30K3723S8/HL,F,F,T,F,F,Declined
25556001005,RD02622,25556,Straight  Through Process,PD_DE,Married,Male,38,OTHERS,PARENT OWNED-HOUSE,BHOPAL,MADHYA PRADESH,462001,SELF-EMPLOYED,Pan Not Submitted,108,47000,47000,12,Parent Owned,TELEVISION,SONY,KLV-29P423D,F,T,F,F,F,Approved
27220000249,SK02345,27220,Straight  Through Process,PD_DE,Married,Male,52,GRADUATE,OWNED-ROWHOUSE,RAIPUR,CHHATTISGARH,492001,SELF-EMPLOYED,Pan Not Submitted,143,30000,30000,12,Self Owned,AIR CONDITIONER,ELECTROLUX,AIR CONDITIONER VANILLA,F,T,F,F,F,Approved
27067000029,DN30900,27067,Under.Writer,DCLN,Married,Male,57,GRADUATE,OWNED-BUNGLOW,JAMNAGAR,GUJARAT,361001,SELF-EMPLOYED,Pan Not Submitted,60,32321,49000,12,Self Owned,HOME THEATRE,TARGET,K1110 FM,F,F,T,F,F,Declined
26189000138,JB02005,26189,Straight  Through Process,APRV,Married,Male,38,GRADUATE,OWNED-BUNGLOW,UDHANA,GUJARAT,394210,SALARIED,ERROR,62,32321,45000,10,Self Owned,SPLIT AC,ELECTROLUX,ES18T5C,F,F,F,T,F,Approved
27793000082,AS22782,27793,Under.Writer,APRV,Married,Male,43,GRADUATE,OWNED-ROWHOUSE,RAIPUR,CHHATTISGARH,492006,SELF-EMPLOYED,Pan Not Submitted,92,32321,30000,12,Self Owned,PANEL - SMARTLED,LG,32LH576D,F,F,T,F,F,Approved
26037000416,AM98094,26037,Straight  Through Process,PD_DE,Married,Male,28,UNDER GRADUATE,OWNED-PENTHOUSE,HYDERABAD,TELANGANA,500017,SELF-EMPLOYED,ERROR,3,32321,49000,12,Parent Owned,AIR CONDITIONER,SAMSUNG,AR24MV3HETSNNA,F,F,T,T,F,Declined
27494000105,JB02005,27494,Under.Writer,DCLN,Single,Male,33,GRADUATE,RENTED-CHAWL,UDHANA,GUJARAT,394210,SELF-EMPLOYED,ERROR,13,32321,17900,10,Self Owned,PANEL - LED,INTEX,LED-3222,F,F,F,T,F,Declined
25557000716,LP14614,25557,Under.Writer,APRV,Single,Male,30,GRADUATE,OWNED-PENTHOUSE,BHOPAL,MADHYA PRADESH,462001,SALARIED,ERROR,74,32321,13000,12,Self Owned,REFRIGERATORS,GODREJ,RB EON NXW 380 SD COSMOS,F,F,F,T,F,Approved
25897000111,VB17665,25897,Under.Writer,DCLN,Married,Female,23,GRADUATE,OWNED-BUNGLOW,HYDERABAD,TELANGANA,500040,SALARIED,ERROR,13,32321,77000,18,Self Owned,PANEL - LED,SONY,KLV-43W752D,T,F,F,T,F,Declined
